claim_id	claim_text	owner_file	public_surface	fixture_or_client_test	gate	status
CLAIM-01	One accepted root theorem returns one exact cp from one exact compile branch, and THAT SAME cp carries the whole accepted guarantee. Hcp is the Compiled branch’s own source proof, not a fresh equation.	Compilable.v	deep_nested_compile_fixture;AcceptedFixture	Compilable.v:deep_nested_program	gate/Assumptions.v:Print Assumptions Compilable.deep_nested_compile_fixture.;tools/claim-matrix-gate.py:BUILDER_PROHIBITION	closed
CLAIM-02	The accepted guarantee names the exact retained forest, the retained index exact in BOTH directions over EVERY member and EVERY present key, the outcome domain over the COMPLETE forest, the retained trace’s suffix split at EVERY member, the sealed fact tables, the package object, layout, plan, and empty raw and final diagnostics.	Compilable.v	AcceptedFixture	gate/Assumptions.v:Print Assumptions Compilable.deep_nested_compile_fixture.	gate/Assumptions.v:Print Assumptions Compilable.deep_nested_compile_fixture.	closed
CLAIM-03	Each accepted conversion cause takes its suffix and tail accumulator as PROJECTIONS of total_forest_outcome_cause — the cause read off the retained outcomes_trace — so no foreign pair satisfies the statement; it carries the exact ConversionStep, operand SuffixMember and prior outcome, tail-to-final preservation, index navigation, the ONE convert_constant, and the exact current ExpressionFact.	Compilable.v	accepted_conversion_cause;retained_convsuccess_cause;total_forest_outcome_cause	Compilable.v:deep_nested_chain_success_evidence	gate/Assumptions.v:Print Assumptions Compilable.accepted_conversion_cause.;gate/Assumptions.v:Print Assumptions Compilable.retained_convsuccess_cause.	closed
CLAIM-04	Occurrence identity survives into the returned value: the retained members sit at pairwise DISTINCT keys, and two occurrences of a syntactically EQUAL expression are distinct members at distinct keys.	Compilable.v	AcceptedFixture;twin_capability_retains_distinct_occurrences	Compilable.v:twin_expr_program	gate/Assumptions.v:Print Assumptions Compilable.twin_capability_retains_distinct_occurrences.	closed
CLAIM-05	One rejected root theorem returns one exact fail from one exact rejected compile branch, and THAT SAME fail carries the whole rejected guarantee. Failure is indexed by its program, so no transport is involved.	Compilable.v	deep_fail_compile_fixture;RejectedFixture	Compilable.v:deep_fail_program	gate/Assumptions.v:Print Assumptions Compilable.deep_fail_compile_fixture.;tools/claim-matrix-gate.py:BUILDER_PROHIBITION	closed
CLAIM-06	The rejected side pins the phase, RAW and FINAL diagnostic lists to the EXACT singleton InvalidConversion reason — exact code and exact retained source references — never a length, a non-emptiness, or an exists-reason.	Compilable.v	deep_fail_innermost_diag_claim;deep_fail_innermost_diag;core_diagnostics_of_node_singleton	Compilable.v:deep_fail_program	gate/Assumptions.v:Print Assumptions Compilable.deep_fail_innermost_diag.;gate/Assumptions.v:Print Assumptions Compilable.core_diagnostics_of_node_singleton.	closed
CLAIM-07	Every ENCLOSING conversion is a child failure over its OWN retained cause: operand already failed, failure preserved into the final table, and no diagnostic contributed whatever annotation context it carries.	Compilable.v	childfail_conversion_cause;retained_childfail_cause;deep_fail_outer_childfail	Compilable.v:deep_fail_outer_childfail_claim	gate/Assumptions.v:Print Assumptions Compilable.childfail_conversion_cause.;gate/Assumptions.v:Print Assumptions Compilable.deep_fail_outer_childfail.	closed
CLAIM-08	The rejected conversion cause likewise takes its suffix and tail accumulator as projections of the retained cause, and admits a fixture-supplied continuation so a concrete claim adds facts inside that scope without restating the conjunct list as a second authority.	Compilable.v	rejected_conversion_cause;retained_convfail_cause	Compilable.v:deep_fail_innermost_diag_claim	gate/Assumptions.v:Print Assumptions Compilable.rejected_conversion_cause.;gate/Assumptions.v:Print Assumptions Compilable.retained_convfail_cause.	closed
CLAIM-09	The accepted path runs compile through emit over ONE object: the emit fixture destructs the accepted root exactly once and carries that witness and its source proof through certify and mint, so AcceptedFixture arrives unchanged. No second compile witness is introduced.	Emit.v	deep_nested_emit_fixture	e2e/Witness.v:Emit.of_safe	gate/Assumptions.v:Print Assumptions Emit.deep_nested_emit_fixture.;tools/claim-matrix-gate.py:BUILDER_PROHIBITION	closed
CLAIM-10	A001: the static capability retains the exact whole elaboration by construction. Compilable.Core, Program, Failure and Facts are sealed — the raw records, their constructors and the production builder stay inside the sealed implementation — and compile is the only mint.	Compilable.v	Elaborations;AcceptedFacts;Capability;compile	Dockerfile:sealed O Compilable.MakeCore	Dockerfile:sealed Q Compilable.build_elaboration_core	closed
CLAIM-11	A006 / D-26: Emit.Mint.Token is opaque and value-indexed, Emit.Mint.issue is the SOLE authority-producing operation, and the visible pack constructor is a reducible carrier — not private — which cannot authorize foreign bytes because the token indices force the payload.	Emit.v	Mint;Image;of_safe;of_safe_at	Dockerfile:mintfail AB	Dockerfile:sealed Y Emit.Mint.Issue;gate/Assumptions.v:Print Assumptions Emit.provenance.	closed
