# Observable-latitude rows: each specification sentence permitting more than one conforming behaviour, and
# the disposition that settles it. Derived reference, not authority. owner_row is the closure row that owns
# the construct; contract names an ARCHITECTURE.md section 9 proof contract; milestone names the milestone
# whose scope owns the row, or OUT when the owning closure row is a priced exclusion. An acceptance GATE is
# a separate earlier fact and lives in acceptance.tsv, so a row can be gated before its milestone. Human
# decisions live in DECISIONS.md. Neither is restated here.
latitude_id	source	anchor	matched_terms	sentence	disposition	owner_row	contract	justification	milestone
LAT-001	Go spec	Source_code_representation	may, implementation restriction	Implementation restriction: For compatibility with other tools, a compiler may disallow the NUL character (U+0000) in the source text.	OUT-COVERED	SPEC-X001	SC-19	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.	OUT
LAT-002	Go spec	Source_code_representation	may, implementation restriction	Implementation restriction: For compatibility with other tools, a compiler may ignore a UTF-8-encoded byte order mark (U+FEFF) if it is the first Unicode code point in the source text.	OUT-COVERED	SPEC-X001	SC-19	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.	OUT
LAT-003	Go spec	Source_code_representation	may	A byte order mark may be disallowed anywhere else in the source.	OUT-COVERED	SPEC-X001	SC-19	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.	OUT
LAT-004	Go spec	Tokens	may	Also, a newline or end of file may trigger the insertion of a semicolon.	NOT-LATITUDE	SPEC-008	SC-01	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C5
LAT-005	Go spec	Semicolons	may	Go programs may omit most of these semicolons using the following two rules:	NOT-LATITUDE	SPEC-009	SC-01	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C5
LAT-006	Go spec	Semicolons	may	To allow complex statements to occupy a single line, a semicolon may be omitted before a closing ")" or "}".	NOT-LATITUDE	SPEC-009	SC-01	This is a source-spelling permission, not semantic latitude for one fixed accepted program. The current fragment neither preserves nor represents the explicit-versus-omitted semicolon choice this sentence describes; the future milestone that admits such a source form owns it.	C5
LAT-007	Go spec	Keywords	may	The following keywords are reserved and may not be used as identifiers.	NOT-LATITUDE	SPEC-011	SC-01	This is a source-validity prohibition or placement restriction, not implementation latitude.	C5
LAT-008	Go spec	Integer_literals	may	For readability, an underscore character _ may appear after a base prefix or between successive digits; such underscores do not change the literal's value.	NOT-LATITUDE	SPEC-013	SC-02; SC-01	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-009	Go spec	Floating-point_literals	may	One of the integer part or the fractional part may be elided; one of the decimal point or the exponent part may be elided.	NOT-LATITUDE	SPEC-014	SC-02; SC-01	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-010	Go spec	Floating-point_literals	may	One of the integer part or the fractional part may be elided; the radix point may be elided as well, but the exponent part is required.	NOT-LATITUDE	SPEC-014	SC-02; SC-01	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-011	Go spec	Floating-point_literals	may	For readability, an underscore character _ may appear after a base prefix or between successive digits; such underscores do not change the literal value.	NOT-LATITUDE	SPEC-014	SC-02; SC-01	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-012	Go spec	Rune_literals	may	Within the quotes, any character may appear except newline and unescaped single quote.	NOT-LATITUDE	SPEC-016	SC-02; SC-01	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-013	Go spec	Rune_literals	may	The simplest form represents the single character within the quotes; since Go source text is Unicode characters encoded in UTF-8, multiple UTF-8-encoded bytes may represent a single integer value.	NOT-LATITUDE	SPEC-016	SC-02; SC-01	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-014	Go spec	String_literals	may	Within the quotes, any character may appear except back quote.	NOT-LATITUDE	SPEC-017	SC-02; SC-01	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-015	Go spec	String_literals	may	The value of a raw string literal is the string composed of the uninterpreted (implicitly UTF-8-encoded) characters between the quotes; in particular, backslashes have no special meaning and the string may contain newlines.	OUT-COVERED	SPEC-X002	SC-19	This latitude lies wholly inside existing OUT row SPEC-X002; inclusion requires paying that row's written price before implementation.	OUT
LAT-016	Go spec	String_literals	may	Within the quotes, any character may appear except newline and unescaped double quote.	NOT-LATITUDE	SPEC-017	SC-02; SC-01	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-017	Go spec	Constants	may	Constants may be typed or untyped.	NOT-LATITUDE	SPEC-018	SC-02	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-018	Go spec	Constants	may	A constant may be given a type explicitly by a constant declaration or conversion, or implicitly when used in a variable declaration or an assignment statement or as an operand in an expression.	NOT-LATITUDE	SPEC-018	SC-02	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-019	Go spec	Constants	may, implementation restriction	Implementation restriction: Although numeric constants have arbitrary precision in the language, a compiler may implement them using an internal representation with limited precision.	ACCEPTANCE-ALIGNMENT	SPEC-018	SC-22	The pinned compiler accepts the exact 511-bit shift fixture and rejects the 512-bit fixture; Fido must reject every constant expression outside the accepted pinned profile before Compilable.Program construction.	C7
LAT-020	Go spec	Constants	at least	Represent integer constants with at least 256 bits.	NOT-LATITUDE	SPEC-018	SC-02	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.	C7
LAT-021	Go spec	Constants	at least	Represent floating-point constants, including the parts of a complex constant, with a mantissa of at least 256 bits and a signed binary exponent of at least 16 bits.	NOT-LATITUDE	SPEC-018	SC-02	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.	C7
LAT-022	Go spec	Variables	may	Structured variables of array, slice, and struct types have elements and fields that may be addressed individually.	NOT-LATITUDE	SPEC-019	SC-03; SC-08	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. C6 admits no array, slice or struct type, so the addressable elements arrive with aggregate data.	C10
LAT-023	Go spec	Variables	may	The dynamic type may vary during execution but values stored in interface variables are always assignable to the static type of the variable.	NOT-LATITUDE	SPEC-019	SC-03; SC-08	This describes ordinary deterministic state variation caused by program steps, not implementation latitude. It concerns interface variables, which arrive with interfaces.	C12
