# class=RAW_BENCHMARK_SESSION
# format_version=1
# source_archive=fido-c4-comparison-series-9c2812c3.zip
# source_archive_sha256=0670397a2350a0a6392c8aa2f7afa8c876f69bd1e6c68f22ceeedbc66c205031
# source_archive_comment_commit=9c2812c330c79d5b7f460911421242c2d02fb641
# measured_commit=6f2f99597678e129254a1d4428f1d05ffbcd14d1
# measured_tree=4fc43d520876a460ded7d59fda73f3a3faddf966
# performance_input_digest=bd96a92feecc31a4b0f281bd782a8440a9ab20f83240b980a93695857a2577e7
# measured_dirty=no
# session_started_at_utc=2026-08-30T06:14:56Z
# hard_budget_seconds=120
# opportunity_ledger=.review/PERFORMANCE_OPPORTUNITIES.tsv
# opportunity_ledger_sha256=12260fade589dc72ee39bfd5f1de802b9ed6ea640dda3807fa7ad4284f1548d8
# opportunity_reviewed_at_utc=2026-08-30T06:31:25Z
# opportunity_disposition=UNCHANGED_ALL_STATUSES_AND_OPEN_DEBT_PRESERVED
recorded_at_utc	scenario	cache_class	repetition	command	cache_state	exit	wall_seconds	complete_path	dominant_profile_attribution	machine_toolchain	notes
2026-08-30T06:15:20Z	COLD_COMPLETE	project-cold	1	FIDO_PERF_COLD=1 make check	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	104	yes	verification-solve stage 80s (fido: [check stage] verification-solve); dominant vertex emit 3/3 RUN 33.5s (BuildKit #22 [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:17:04Z	WARM_COMPLETE	immediate-warm	1	make check	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	31	yes	policy-gates stage 25s (fido: [check stage] policy gates); project solve warm/CACHED (fido: [check stage] verification-solve 2s)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:17:36Z	COLD_COMPLETE	project-cold	2	FIDO_PERF_COLD=1 make check	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	108	yes	verification-solve stage 83s (fido: [check stage] verification-solve); dominant vertex emit 3/3 RUN 32.8s (BuildKit #NN [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:19:24Z	WARM_COMPLETE	immediate-warm	2	make check	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	27	yes	policy-gates stage 22s (fido: [check stage] policy gates); project solve warm/CACHED (verification-solve 2s)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:19:52Z	COLD_COMPLETE	project-cold	3	FIDO_PERF_COLD=1 make check	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	104	yes	verification-solve stage 78s (fido: [check stage] verification-solve); dominant vertex emit 3/3 RUN 32.0s (BuildKit #NN [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:21:36Z	WARM_COMPLETE	immediate-warm	3	make check	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	27	yes	policy-gates stage 23s (fido: [check stage] policy gates); project solve warm/CACHED (verification-solve 2s)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:22:05Z	STAGED_PRE_COMMIT	project-cold	1	FIDO_PERF_COLD=1 .githooks/pre-commit	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	98	yes	emit 3/3 RUN 32.7s — dominant vertex of the one project-cold staged solve (BuildKit #23 [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:23:43Z	STAGED_PRE_COMMIT	immediate-warm	1	.githooks/pre-commit	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	25	yes	staged gate suite ~25s (project solve CACHED, all vertices <=0.3s); heaviest the mutation gate (fido: gate-mutation test OK 82 mutants; fido: pre-commit complete staged path)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:24:09Z	STAGED_PRE_COMMIT	project-cold	2	FIDO_PERF_COLD=1 .githooks/pre-commit	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	103	yes	emit 3/3 RUN 32.6s — dominant vertex of the one project-cold staged solve (BuildKit #NN [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:25:52Z	STAGED_PRE_COMMIT	immediate-warm	2	.githooks/pre-commit	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	24	yes	staged gate suite ~24s (project solve CACHED, all vertices <=0.3s); heaviest the mutation gate (fido: gate-mutation test OK 82 mutants)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:26:18Z	STAGED_PRE_COMMIT	project-cold	3	FIDO_PERF_COLD=1 .githooks/pre-commit	project-cold;dune-build=cold;dune-cache=off;buildkit=project-stages-invalidated;base=primed;prior=none	0	95	yes	emit 3/3 RUN 32.3s — dominant vertex of the one project-cold staged solve (BuildKit #NN [emit 3/3] DONE)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
2026-08-30T06:27:53Z	STAGED_PRE_COMMIT	immediate-warm	3	.githooks/pre-commit	immediate-warm;project=warm;dune-build=warm;buildkit=warm;base=warm;prior=cold-run	0	22	yes	staged gate suite ~22s (project solve CACHED, all vertices <=0.3s); heaviest the mutation gate (fido: gate-mutation test OK 82 mutants)	4-core;15GB;docker-26.1.5;buildx-container;rocq-toolchain@sha256:3e43c422	none
