id	status	boundary	reason	enforcement	reopen_trigger
SR-001	ACCEPTED	Pinned linux/amd64 64-bit validation target: int/uint are 64-bit and distinct from int64/uint64; no other OS or architecture is validated.	One pinned target lets the Admissible-equals-go-build adequacy target be differentially attacked against one real toolchain, and lets int/uint be concrete types with complete proof surfaces, instead of a target-parametric width threaded through every numeric proof.	Integer.v; Makefile PLATFORM; Dockerfile go-e2e GOOS/GOARCH guards; digest-pinned golang:1.23-alpine.	32-bit, arm64 or another OS; any portable-Go public claim; uintptr or layout work; a toolchain image change.
SR-002	PROPOSED	Platform filesystem and resource limits are not modelled: NAME_MAX, PATH_MAX, inode, disk and memory ceilings. Paths are arbitrary length with no numeric cap.	These limits are platform-specific and outside the Go-source and cmd/go semantic domain. An over-long path fails loud at the OS during materialization, never silently in the model or the grammar.	FilePath.v and ModulePath.v carry no length cap; materialization surfaces ENAMETOOLONG.	A decision to model a specific deployment filesystem as a semantic domain.
SR-003	PROPOSED	Cooperating-developer threat boundary: the publication path is not hardened against a deliberate local bypass or against tampering with its own verifier.	The enforced property is that published bytes were validated by a pinned build, for a cooperating developer using ordinary Git. Resisting a local adversary would need a different mechanism and is not claimed.	Docker validate-before-publish stage graph; pre-commit hook over the staged index; go build ./... gating the sync image.	A decision to make publication resistant to deliberate local bypass, or a server-side CI boundary.
SR-004	PROPOSED	Host Rocq and OCaml builds are unsupported. Everything runs through pinned Buildx containers.	A pinned container is the only reproducible version-exact toolchain. A host install is a second unpinned authority for the same facts.	Makefile routes every target through buildx; Dockerfile pins every base image and package.	A decision to support and pin a host toolchain as an equal authority.
SR-005	PROPOSED	Module-path grammar exclusions: every Go-valid module path outside the narrow canonical grammar, including /vN suffixes and gopkg.in forms.	The module path is a semantic fact rendered into go.mod. A deliberately narrow one-way grammar makes invalid paths unrepresentable rather than rejected, and excludes the two Go 1.23 semantic-import-versioning classes exactly.	ModulePath.v segment grammar; representable and unrepresentable fixtures.	Imports or multi-module support needing an excluded form.
SR-006	PROPOSED	Source-file naming restrictions: (a) hidden, _test.go, testdata and vendor paths; (b) every valid Go source path outside lowercase-ASCII canonical form.	(a) faithfulness to go build file selection; (b) a canonical decidable minimal path domain with no case-folding or collision questions.	FilePath.v component_ok, reserved_dir, filename_ok, path_ok and their fixtures.	A need to represent a valid mixed-case, hyphen or underscore Go source path.
SR-007	PROPOSED	Imports on hold: no import syntax is representable and every file has an intrinsically empty import section.	The closed-world guarantee requires Admissible to resolve every import to a package owned by the same program, or reject the whole program. Nothing may resolve to stdlib, cache, network, vendor, workspace or ambient filesystem.	Syntax.imports has no constructors, so imports are unrepresentable rather than rejected.	The imports arc landing with its resolver and closed-world proof, under explicit sign-off.
SR-008	PROPOSED	Unrepresented Go syntax: the admitted fragment is println of primitive literals plus one source-shaped explicit conversion naming one of sixteen source type names.	The certified fragment stays small and grows only by proof principles, never by lists of examples. A construct that cannot be modelled exactly is removed from the AST rather than admitted with a conservative narrowing.	Syntax carries only the fragment constructors; Names carries the closed sixteen-name class.	Each future checkpoint landing a new construct with complete Admissible, Property, Render and differential obligations.
SR-009	UNRESOLVED	Bounded Float.Decimal literal domain: canonical coeff times 10^exp with abs(coeff) below 10^40 and abs(exp10) at most 4096.	A pre-existing Float.v bound whose justification was never recorded. It is narrower than Go float constants and its minimality is not established.	Float.v decimal_max_coeff, decimal_max_exp and the canonicality bounds.	Any real float literal beyond the box; a decision to match Go float-constant precision; ADR-0002 being reopened.
SR-010	PROPOSED	C6 operand names may not spell `main`. Go permits both the package `main` function as a value and a recursive `main()` call; under the one application root a head is an operand, so neither form is representable in C6.	C6 has no function type and no function value. Admitting the operand would make valid Go representable and then rejected, violating exact admissibility. Unrepresentable is the honest boundary.	Syntax.OperandIdentifier carries proof its spelling is not "main"; GRAM-104 records the admitted subset.	The functions milestone landing function types and values, which pays this price in full.
SR-011	PROPOSED	C6 names may not spell `any`, `comparable`, `error` or `uintptr` in an operand or a type use. Valid Go uses of those types, including conversions written through the one application root, are unrepresentable in C6.	C6 implements none of them. A raw ordinary identifier in a type use would make valid programs representable and then rejected. A user declaration may still bind these spellings; only the C6 type-use source form is restricted, which also gives up their shadowed uses until the full roots land.	Syntax.OperandIdentifier and Syntax.TypeIdentifier each carry proof the spelling is outside that set.	Interfaces for `any`, `comparable` and `error`; the priced `uintptr` target decision for `uintptr`.
