obligation_id	claim	owning_authority	implementation	positive_evidence	negative_control	mutation_control	gate	status
R21-A007-NO-EARLY-IMPLEMENTATION	A007 and Governance D-27 remain installed and unimplemented: no M1-M4 source diet, build measurement, tool consolidation or proof partitioning landed, and no C5 type or relation landed.	.review/M_SERIES_PLAN.md	unsupported-boundary: the obligation is an ABSENCE, so there is no implementation to name; inventing a surface to fill this cell would misrepresent what was done	.review/M_SERIES_PLAN.md:M1, M2, M3 and M4 implementation are FORBIDDEN;.review/fcb/current/FIDO_FCB_GOVERNANCE.md:D-27 — Mechanical debt is removed before the permanent runtime base.	.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv:M4-PLAN-APPROVAL	unsupported-boundary: no rule can be deleted to test an absence; the closure audit records the observed scope instead	Makefile:fcb	closed
R21-D07-STATE-OWNERSHIP	Open human-act data carries no mutable candidate state: the C4 act states only the durable act, and the generator refuses any Git object ID while still accepting a content digest.	.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv	tools/human-review-index.py:check_no_mutable_candidate_state;tools/human-review-index.py:GIT_OBJECT_ID	.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv:Review the exact C4 candidate named by .review/NEXT_STEPS.md	tools/human-review-index.py:a candidate SHA copied into an act;tools/human-review-index.py:a SHA-256 content digest stays accepted	tools/gate-mutation-test.py:the candidate-state rule;tools/gate-mutation-test.py:the boundary protecting content digests	Makefile:fcb	closed
R21-D24-AUTHORITY-DISCOVERY	Every operational repository path a current authority names has exactly one manifest row, and a new authority row causes its target to be scanned with no Python source change.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:operational_references;tools/fcb-reference-gate.py:check_corpus_declared;tools/fcb-reference-gate.py:authority_rows	tools/fcb-reference-gate.py:a newly added CLEAN authority is discovered and accepted	tools/fcb-reference-gate.py:a dangling path under a dot namespace;tools/fcb-reference-gate.py:a dangling dot-prefixed root path;tools/fcb-reference-gate.py:a dangling root path in ./ form;tools/fcb-reference-gate.py:a newly added authority row scans its target with no Python change	tools/gate-mutation-test.py:repository inventory derivation	Makefile:fcb	closed
R21-D24-CANONICAL-PATH	One canonical repository-path parser governs manifest targets, owners, live-set entries, Index table cells and paths found in authority prose; a malformed spelling is rejected, never normalized and accepted.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:parse_repo_path;tools/fcb-reference-gate.py:resolve_in_root	tools/fcb-reference-gate.py:canonical fixture passes (exported snapshot mode)	tools/fcb-reference-gate.py:a manifest target written as ./ARCHITECTURE.md;tools/fcb-reference-gate.py:a manifest target with a doubled separator;tools/fcb-reference-gate.py:a manifest target with a "." segment;tools/fcb-reference-gate.py:a manifest target with a backslash;tools/fcb-reference-gate.py:active repair names a malformed parent-traversal path	tools/gate-mutation-test.py:canonical path parsing	Makefile:fcb	closed
R21-D24-EXACT-MARKER	An owner marker binds the exact canonical path as a delimited token, so one path is never proved by a longer path that contains it.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:line_binds_path;tools/fcb-reference-gate.py:check_owner_marker	tools/fcb-reference-gate.py:canonical fixture passes (working-tree mode)	tools/fcb-reference-gate.py:an owner marker bound to dune-project instead of dune;tools/fcb-reference-gate.py:a marker whose line does not carry its declared path	tools/gate-mutation-test.py:exact marker token binding	Makefile:fcb	closed
R21-D24-EXTERNAL-SEPARATION	External evidence uses a distinct identity namespace that cannot parse as a repository path, so retyping a missing repository file as external evidence can never make it pass.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:parse_external_id;tools/fcb-reference-gate.py:EXTERNAL_PREFIX	.review/fcb/current/FIDO_FCB_REFERENCES.tsv:external:PROBE_ENVIRONMENT.tsv	tools/fcb-reference-gate.py:a missing repository path typed as external evidence;tools/fcb-reference-gate.py:an external identity that resolves inside the repository;tools/fcb-reference-gate.py:an external identity inside a repository namespace;tools/fcb-reference-gate.py:a repository row wearing the external identity form	tools/gate-mutation-test.py:external / repository separation	Makefile:fcb	closed
R21-D24-INDEX-UNIQUENESS	The FCB Index live-file table names each path exactly once and agrees with the manifest in both directions; a repeated row fails whether or not its role agrees.	.review/fcb/current/FIDO_FCB_INDEX.md	tools/fcb-reference-gate.py:check_index_table_roles;tools/fcb-reference-gate.py:INDEX_TABLE_ROW	.review/fcb/current/FIDO_FCB_INDEX.md:| Path | Role | Purpose |	tools/fcb-reference-gate.py:the FCB Index repeats one live-set path with the same role;tools/fcb-reference-gate.py:the FCB Index repeats one live-set path with a different role;tools/fcb-reference-gate.py:the Index table role disagrees with the manifest;tools/fcb-reference-gate.py:a live-set file dropped from the Index table	tools/gate-mutation-test.py:duplicate Index table rows	Makefile:fcb	closed
R21-D24-INVENTORY	The path universe comes from the repository inventory of the exact snapshot — Git in working-tree mode, the exported tree in snapshot mode — and no repository namespace or root file is hard-coded.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:repository_inventory;tools/fcb-reference-gate.py:RESIDUE_DIRS	tools/fcb-reference-gate.py:canonical fixture passes (working-tree mode)	tools/fcb-reference-gate.py:authority names an existing but unmanifested root .v file;tools/fcb-reference-gate.py:authority names an existing but unmanifested dotfile	tools/gate-mutation-test.py:repository inventory derivation	Makefile:fcb	closed
R21-D24-LIVE-SET	The canonical live FCB set is flat and closed: every immediate entry is a declared regular non-symlink file with exactly one manifest row and one Index table line.	.review/fcb/current/FIDO_FCB_INDEX.md	tools/fcb-reference-gate.py:check_live_set_closed	tools/fcb-reference-gate.py:canonical fixture passes (exported snapshot mode)	tools/fcb-reference-gate.py:the live FCB set contains an undeclared regular file;tools/fcb-reference-gate.py:the live FCB set contains a directory;tools/fcb-reference-gate.py:the live FCB set contains a symlinked directory;tools/fcb-reference-gate.py:the live FCB set contains a symlinked file	tools/gate-mutation-test.py:live-set entry-kind checking;tools/gate-mutation-test.py:live-set declaration closure	Makefile:fcb	closed
R21-D24-OWNER-CONTAINMENT	A manifest owner is one canonical regular file inside the exact snapshot; absolute paths, parent traversal, symlinked resolution and fallback search all fail.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	tools/fcb-reference-gate.py:owner_path	tools/fcb-reference-gate.py:canonical fixture passes (exported snapshot mode)	tools/fcb-reference-gate.py:manifest owner escapes the repository by traversal;tools/fcb-reference-gate.py:manifest owner is absolute;tools/fcb-reference-gate.py:manifest owner reached through a symlink;tools/fcb-reference-gate.py:manifest owner is a directory, not a file	tools/gate-mutation-test.py:owner and target root containment	Makefile:fcb	closed
