# CLASS: RAW_MEASUREMENT — normalized measurement events.  Only the graphs of the exact governed series
# are retained: one comparison-baseline (entry-cold-1) and the current cold set; git history owns every
# superseded graph.  Every basis is registered in performance-bases.tsv and verified against its exact
# source commit; the required-event grammar of the registered topology is enforced (a required event
# cannot be omitted, renamed, re-parented, or given different edges); each row states its timing clock and
# native resolution (HOST_SECONDS/PROC_UPTIME_10MS/BUILDKIT_LOG_OFFSET/DERIVED) and a row cannot claim
# finer precision than its source; the governing totals are computed ONLY by tools/perf-work-span.py.
# entry-cold-1: the 148s three-solve run at the c13e3d5 candidate (comparison-baseline; whole-second host
# timing, the verbose Buildx log was not retained; the scenario median across runs was 151s, range
# 148-159, so entry comparisons are conservative lower bounds).
basis	scenario	run_id	event_id	parent_id	role	class	start_ms	end_ms	elapsed_ms	predecessors	worker_or_stage	cache_state	result	source	notes	clock	resolution_ms
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	root		CONTAINER	UNCLASSIFIED	0	148000	148000		make-check	project-cold	ok	normalized-rows	three-solve topology; serial	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	policy	root	WORK_LEAF	POLICY	0	19000	19000		host-gates	pytools-warm	ok	stage-timer		HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	s1	root	CONTAINER	UNCLASSIFIED	19000	87000	68000	policy	verification-solve	project-cold	ok	stage-timer	solve 1 of 3	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	p-context	s1	WORK_LEAF	WAIT_OR_OVERHEAD	19000	36000	17000	policy	context-copy	cold	ok	plain-log-offsets	certified COPY chain	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	p-dune	s1	WORK_LEAF	THEORY	36000	63500	27500	p-context	dune	cold-mount	ok	plain-log-offsets	dune 1 of 2	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	p-gates	s1	WORK_LEAF	PROOF	63500	77200	13700	p-dune	proof-gates	warm-lib	ok	plain-log-offsets	coverage+layer+typing+absence	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	p-tail	s1	WORK_LEAF	WAIT_OR_OVERHEAD	77200	87000	9800	p-gates	export-layers	cold	ok	derived	solve export remainder	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	s2	root	CONTAINER	UNCLASSIFIED	87000	145000	58000	s1	verification-solve	project-cold	ok	stage-timer	solve 2 of 3	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	e-context	s2	WORK_LEAF	WAIT_OR_OVERHEAD	87000	95000	8000	p-tail	context-copy	cold	ok	plain-log-offsets	duplicate COPY chain + e2e	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	e-dune	s2	WORK_LEAF	THEORY	95000	99500	4500	e-context	dune	warm-mount	ok	plain-log-offsets	dune 2 of 2 (revalidation)	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	e-emit	s2	WORK_LEAF	EMIT	99500	136000	36500	p-gates,e-dune	emit-run	cold	ok	plain-log-offsets	materializers+waves+audit+sink	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	e-go	s2	WORK_LEAF	GO	136000	145000	9000	e-emit	go-e2e	cold	ok	derived	pinned go build + goldens	HOST_SECONDS	1000
cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE	entry-cold-1	art	root	WORK_LEAF	JOIN_EXPORT	145000	148000	3000	e-go	verification-solve	layer-warm	ok	stage-timer	solve 3 of 3: export + byte-compare (one combined historical leaf)	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	root		CONTAINER	UNCLASSIFIED	0	100000	100000		make-check	project-cold	ok	stage-timer	wall of the complete run	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	policy	root	WORK_LEAF	POLICY	0	23000	23000		host-gates	pytools-warm	ok	stage-timer	policy+evidence gates	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	solve	root	CONTAINER	UNCLASSIFIED	23000	98000	75000	policy	verification-solve	project-stages-invalidated	ok	stage-timer	the one BuildKit DAG solve	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	setup	solve	WORK_LEAF	WAIT_OR_OVERHEAD	23000	32000	9000	policy	context-copy	cold	ok	stage-timer	context copies + image ops + export overhead	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	theory	solve	WORK_LEAF	THEORY	32000	57900	25900	setup	dune	dune-cache-pruned	ok	stage-timer	the one dune build @install @all + snapshot	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	proof	solve	WORK_LEAF	PROOF	57900	73000	15100	theory	proof-branch	cold	ok	stage-timer	coverage + layer gate + whole-theory audit + controls	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	emit	solve	WORK_LEAF	EMIT	57900	89200	31300	theory	emit-branch	cold	ok	stage-timer	materialize + fixtures + e2e audit	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	go	solve	WORK_LEAF	GO	89200	97200	8000	emit	go-e2e	cold	ok	stage-timer	pinned go build + goldens + differentials	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	join	solve	WORK_LEAF	JOIN_EXPORT	97200	98000	800	proof,go	join-export	cold	ok	stage-timer	verified join requires both markers	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	compare	root	WORK_LEAF	ARTIFACT_COMPARE	98000	100000	2000	join	worktree-compare	host	ok	stage-timer	working tree vs exported artifact	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	chunk-A	emit	ATTRIBUTION	FIXTURE_WORKER	70580	82330	11750		chunk-A	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	chunk-B	emit	ATTRIBUTION	FIXTURE_WORKER	70580	81990	11410		chunk-B	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	chunk-C	emit	ATTRIBUTION	FIXTURE_WORKER	70590	82340	11750		chunk-C	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-1	chunk-D	emit	ATTRIBUTION	FIXTURE_WORKER	70580	82840	12260		chunk-D	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	root		CONTAINER	UNCLASSIFIED	0	95000	95000		make-check	project-cold	ok	stage-timer	wall of the complete run	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	policy	root	WORK_LEAF	POLICY	0	20000	20000		host-gates	pytools-warm	ok	stage-timer	policy+evidence gates	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	solve	root	CONTAINER	UNCLASSIFIED	20000	94000	74000	policy	verification-solve	project-stages-invalidated	ok	stage-timer	the one BuildKit DAG solve	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	setup	solve	WORK_LEAF	WAIT_OR_OVERHEAD	20000	28100	8100	policy	context-copy	cold	ok	stage-timer	context copies + image ops + export overhead	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	theory	solve	WORK_LEAF	THEORY	28100	54100	26000	setup	dune	dune-cache-pruned	ok	stage-timer	the one dune build @install @all + snapshot	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	proof	solve	WORK_LEAF	PROOF	54100	69600	15500	theory	proof-branch	cold	ok	stage-timer	coverage + layer gate + whole-theory audit + controls	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	emit	solve	WORK_LEAF	EMIT	54100	85600	31500	theory	emit-branch	cold	ok	stage-timer	materialize + fixtures + e2e audit	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	go	solve	WORK_LEAF	GO	85600	93400	7800	emit	go-e2e	cold	ok	stage-timer	pinned go build + goldens + differentials	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	join	solve	WORK_LEAF	JOIN_EXPORT	93400	94000	600	proof,go	join-export	cold	ok	stage-timer	verified join requires both markers	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	compare	root	WORK_LEAF	ARTIFACT_COMPARE	94000	95000	1000	join	worktree-compare	host	ok	stage-timer	working tree vs exported artifact	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	chunk-A	emit	ATTRIBUTION	FIXTURE_WORKER	66740	77890	11150		chunk-A	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	chunk-B	emit	ATTRIBUTION	FIXTURE_WORKER	66740	78990	12250		chunk-B	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	chunk-C	emit	ATTRIBUTION	FIXTURE_WORKER	66740	78610	11870		chunk-C	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-2	chunk-D	emit	ATTRIBUTION	FIXTURE_WORKER	66740	79160	12420		chunk-D	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	root		CONTAINER	UNCLASSIFIED	0	96000	96000		make-check	project-cold	ok	stage-timer	wall of the complete run	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	policy	root	WORK_LEAF	POLICY	1000	20000	19000		host-gates	pytools-warm	ok	stage-timer	policy+evidence gates	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	solve	root	CONTAINER	UNCLASSIFIED	20000	94000	74000	policy	verification-solve	project-stages-invalidated	ok	stage-timer	the one BuildKit DAG solve	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	setup	solve	WORK_LEAF	WAIT_OR_OVERHEAD	20000	27400	7400	policy	context-copy	cold	ok	stage-timer	context copies + image ops + export overhead	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	theory	solve	WORK_LEAF	THEORY	27400	53200	25800	setup	dune	dune-cache-pruned	ok	stage-timer	the one dune build @install @all + snapshot	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	proof	solve	WORK_LEAF	PROOF	53200	69200	16000	theory	proof-branch	cold	ok	stage-timer	coverage + layer gate + whole-theory audit + controls	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	emit	solve	WORK_LEAF	EMIT	53200	85500	32300	theory	emit-branch	cold	ok	stage-timer	materialize + fixtures + e2e audit	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	go	solve	WORK_LEAF	GO	85500	93100	7600	emit	go-e2e	cold	ok	stage-timer	pinned go build + goldens + differentials	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	join	solve	WORK_LEAF	JOIN_EXPORT	93100	94000	900	proof,go	join-export	cold	ok	stage-timer	verified join requires both markers	DERIVED	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	compare	root	WORK_LEAF	ARTIFACT_COMPARE	94000	96000	2000	join	worktree-compare	host	ok	stage-timer	working tree vs exported artifact	HOST_SECONDS	1000
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	chunk-A	emit	ATTRIBUTION	FIXTURE_WORKER	66540	77770	11230		chunk-A	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	chunk-B	emit	ATTRIBUTION	FIXTURE_WORKER	66540	78950	12410		chunk-B	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	chunk-C	emit	ATTRIBUTION	FIXTURE_WORKER	66540	78650	12110		chunk-C	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
c7563aa006d79060c7638f9e9b222cf4aeab48b4fa2e5988ca293c4d7ac077bf	COLD_COMPLETE	final-cold-3	chunk-D	emit	ATTRIBUTION	FIXTURE_WORKER	66540	78990	12450		chunk-D	cold	ok	stage-timer	4-slot wave2 worker	BUILDKIT_LOG_OFFSET	100
