fixed_point_id	component_id	baseline_path	terminal_path	selector_kind	selector	protected_projection
ARCH-01	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 1. Standard`	normalized-section-text
ARCH-02	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 2. Permanent Public Semantic Base`	normalized-section-text
ARCH-03	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 3. Complete Authority Chain`	normalized-section-text
ARCH-04	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 5. Facts Depend on Exact Source Roles`	normalized-section-text
ARCH-05	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 6. One Type Algebra`	normalized-section-text
ARCH-06	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 11. Static Bindings and Dynamic Cells Are Different`	normalized-section-text
ARCH-07	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 13. Panic, Defer, and Recover`	normalized-section-text
ARCH-08	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 15. One Structured Label per Transition`	normalized-section-text
ARCH-09	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 17. Safety Is a Finite Bad-Prefix Property`	normalized-section-text
ARCH-10	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 19. Starts`	normalized-section-text
