obligation_id	claim	owning_authority	implementation	positive_evidence	negative_control	mutation_control	gate	status
M2-01	M1 is accepted and M2 Build Observatory is the sole active work.	.review/M2_BUILD_OBSERVATORY.md	tools/human-review-index.py:check_no_mutable_candidate_state	.review/fcb/current/FIDO_FCB_INDEX.md:M1-ACCEPT-6524b43	tools/human-review-index.py:a live row omitted from the generated view	tools/gate-mutation-test.py:the candidate-state rule	Makefile:fcb	closed
M2-02	One registry classifies every public Make target, pre-commit stage, Docker stage, and analysis command.	.review/M2_BUILD_OBSERVATORY.md	tools/build-observatory.py:check_coverage	.review/BUILD_OBSERVATORY_SUITE.json:build_targets	tools/build-observatory.py:a public Make target absent from the registry	tools/gate-mutation-test.py:the surface-to-registry direction	Makefile:observatory; .githooks/pre-commit:precommit.observatory	closed
M2-03	One `make observe` interface generates help, listings, runs, comparisons, subsets, and recording.	.review/M2_BUILD_OBSERVATORY.md	pending: tools/build-observatory.py:render_usage, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observe, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/build-observatory.py:a documented example does not resolve, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/gate-mutation-test.py:live command-surface discovery, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observe, re-cited under Repair 4 once the canonical observation for this candidate is recorded	open
M2-04	Named `ONLY` and `SCENARIO` selection runs only the selected closure and cannot record partial results.	.review/M2_BUILD_OBSERVATORY.md	tools/build-observatory.py:select	tools/build-observatory.py:scenario_support	tools/build-observatory.py:a partial run with RECORD	tools/gate-mutation-test.py:the automatic cold prime a cached selection needs	Makefile:observe	closed
M2-05	The observation schema retains exact source, environment, cache, command, sample, graph, and history identity.	.review/M2_BUILD_OBSERVATORY.md	pending: tools/build-observatory.py:SAMPLE_FIELDS, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: .review/BUILD_OBSERVATION.json:host_load, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/build-observatory.py:a summary pooling samples taken against different sources, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/gate-mutation-test.py:one summary, one program, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observatory, re-cited under Repair 4 once the canonical observation for this candidate is recorded	open
M2-06	Cold, warm, cached, uncached, no-op, incremental, and bootstrap meanings are exact and non-overlapping.	.review/M2_BUILD_OBSERVATORY.md	tools/build-observatory.py:check_cut_observed	.review/BUILD_OBSERVATORY_SUITE.json:cache_cut	tools/build-observatory.py:a cold sample with no observed stage state was accepted	tools/gate-mutation-test.py:a cold claim needs evidence for it, not absent evidence against it	Makefile:observatory	closed
M2-07	Every cached sample retains its exact priming and isolated cache provenance.	.review/M2_BUILD_OBSERVATORY.md	pending: tools/build-observatory.py:sample_provenance, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: .review/BUILD_OBSERVATION.json:prime_sample_id, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/build-observatory.py:a reused project cache naming no prime, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/gate-mutation-test.py:a reused project cache must name a retained cold prime, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observatory, re-cited under Repair 4 once the canonical observation for this candidate is recorded	open
M2-08	The complete canonical suite covers every important working-tree and staged pre-commit use case.	.review/M2_BUILD_OBSERVATORY.md	pending: tools/build-observatory.py:expected_relation, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: .review/BUILD_OBSERVATION.json:precommit.mutation, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/build-observatory.py:a reused project cache naming a prime nothing retains, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/gate-mutation-test.py:two-directional coverage closure, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observatory, re-cited under Repair 4 once the canonical observation for this candidate is recorded	open
M2-09	Mutating and repository-configuration commands run only in disposable or isolated environments.	.review/M2_BUILD_OBSERVATORY.md	tools/build-observatory.py:isolate	.review/BUILD_OBSERVATORY_SUITE.json:temporary-docker-config	tools/build-observatory.py:a mutating command run in the source tree	tools/gate-mutation-test.py:isolation implementation	Makefile:observatory	closed
M2-10	The permanent command-surface validator fails on missing targets, stages, anchors, or classifications.	.review/M2_BUILD_OBSERVATORY.md	pending: tools/build-observatory.py:check_coverage, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: .review/BUILD_OBSERVATORY_SUITE.json:owner, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/build-observatory.py:a pre-commit anchor absent from the registry, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: tools/gate-mutation-test.py:the anchor-to-registry direction, re-cited under Repair 4 once the canonical observation for this candidate is recorded	pending: Makefile:observatory; .githooks/pre-commit:precommit.observatory, re-cited under Repair 4 once the canonical observation for this candidate is recorded	open
