# Candidate-bound performance-opportunity ledger — the one current authority.
# OPEN_MATERIAL rows are current assessments bound to a digest present in the measurement evidence;
# IMPLEMENTED/REJECTED rows carry their implementation/assessment commit or digest.
id	basis	class	status	affected	work_gain	span_gain	hotspot	constraints	commit	result	revisit
PERF-IMPL-SEALED-VM	0527968	COMPUTATIONAL	IMPLEMENTED	cold	prover control 102s->1.5s	(see work_gain; span not separately claimed at migration)	sealed_ok.v seven destruct(all_files) WHNF kernel reductions	exact positive control unchanged; VM path	0527968	measured 20.0s->1.5s warm; make prove 30s->11s	n/a
PERF-IMPL-PARALLEL-FIXTURES	5219546	ORCHESTRATION	IMPLEMENTED	cold	emit heavy fixtures serial->concurrent	(see work_gain; span not separately claimed at migration)	four independent proof fixtures with distinct output trees	distinct output dirs; shared read-only library	5219546	fixture section ~51s->~42s	n/a
PERF-IMPL-AUDIT-REUSE-VO	5219546	INCREMENTAL	IMPLEMENTED	cold	e2e audit 45s->2s	(see work_gain; span not separately claimed at migration)	audit recompiled all eight witnesses a second time	Require loads .vo; no Materialize replay; same axiom rejection	5219546	emit RUN 97.8s->55s	n/a
PERF-COMP-FAST-DISPOSITION	ee1241f	COMPUTATIONAL	REJECTED_MEASURED	cold	claimed WitnessReject ~42s->~5s	(see work_gain; span not separately claimed at migration)	verdict-only fixtures	exact disposition stays authority	n/a	targeted population measured 1.24s/3.1% of 40.28s (76 fixtures; a pure disposition proof ~8ms); best possible file result ~39s vs the required <=14s/3x: arithmetic impossibility	only if verdict-only fixture cost becomes material again
PERF-COMP-WITNESS-CHUNKING	b6bdf98	SCALING	IMPLEMENTED	cold	WitnessReject wall 41s->12-15s	(see work_gain; span not separately claimed at migration)	one serial rocq unit for the whole fixture matrix	prelude+4 cost-balanced chunks (ratio 1.12); bounded 4-slot waves; every fixture retained; audit covers every chunk	b6bdf98	chunk wall 12-15s (<=16 met); fixture stage 42->16-19s; cold complete 166->151 median (9.0%, SS11.2 <=145/>=12% missed: critical path moved to the one-verification DAG)	n/a
PERF-COMP-PER-PROGRAM-BUNDLES	b6bdf98	COMPUTATIONAL	IMPLEMENTED	cold	repeated exact analyses of one program shared	(see work_gain; span not separately claimed at migration)	p_two_iota cluster: 3 fixtures x 2 VM passes each	statements unchanged; projections VM-free; one let-bound observation	b6bdf98	two_iota 8.88s->3.20s (64%); the o_cx cluster evaluated and rejected by the validated analysis-count arithmetic (zero gain)	if a future cluster shows >=3 expensive fixtures on one program
PERF-COMP-EVIDENCE-OBSERVATION	c4615d14557989c8db0bcf7b3026534f9013292b1e469475e9ae1bfb05c387e3	COMPUTATIONAL	OPEN_MATERIAL	cold	max aggregate-work saving ~24s (24.00s on the final refresh; the exact per-chunk split lives in the tool-generated verification-dag-reachability.tsv)	max fixture-wall saving ~4.4-4.8s across refreshes / max complete-path wall saving the same (four-chunk critical path: zero-cost wave = max chunk residual; emit stays critical)	per-chunk targets in the tool-generated .review/perf/verification-dag-reachability.tsv (final refresh: A 8.36 / B 6.21 / C 5.28 / D 4.15s)	theorem-backed projection of exact Analysis/Report authority, never a peer evidence engine	n/a	realistic_expected_saving UNKNOWN_PENDING_SPIKE — no measured projection exists yet	a measurement-only spike (bundle-style let-sharing on the top cluster) BEFORE any implementation contract; material for WORK even though wall benefit is parallelism-limited
PERF-ORCH-ONE-VERIFICATION-DAG	82a2a86	ORCHESTRATION	IMPLEMENTED	cold	aggregate task elapsed: PV 126->98s (-22.2%), complete path 148->120s (-18.9%), from the accounting tool	wall span: PV 126->80s (-36.5%), complete 148->103s (-31.1%); cold median 151->103s; 18s proof-branch overlap stays visible	one theory-built parent (single dune build, ordinary snapshot layer); proof-audit and emit branches; verified join requires proof-ok + fresh-build-ok	caches optional (empty-cache pass proven); markers are BuildKit edges only; graph gate + dag-guard pin the topology	ff7b7bd	solves 3->1; dune invocations 2->1 (sum 32.5->26s); work and span computed by tools/perf-work-span.py from verification-dag-events.tsv (entry basis: the instrumented 148s run, the FASTEST entry run, so the reduction is a lower bound; entry range 148-159)	n/a
PERF-INCR-ARCHITECTURE-PROOF-LOCALITY	899be3b	INCREMENTAL	IMPLEMENTED	warm	an ARCHITECTURE.md edit no longer rebuilds the shared theory + every branch	arch-only rebuild wall: full fan-out (theory+prover+emit ~50s+) -> prover-only 18s, zero dune, artifact byte-identical	the policy input was COPYed into theory-built though only the prover layer gate reads it	policy-locality laws in tools/build-graph-gate.py (theory must not copy it; prover must; emit/go must not)	899be3b	measured controlled experiment: theory-built/emit/go-e2e CACHED, prover 4/4 rebuilt, join cache-hits on the content-identical marker	n/a
PERF-INCR-ANALYSIS-DECISION-EVIDENCE-SPLIT	c4615d14557989c8db0bcf7b3026534f9013292b1e469475e9ae1bfb05c387e3	INCREMENTAL	OPEN_MATERIAL	warm	proof-only edits stop invalidating all verdict fixtures	(see work_gain; span not separately claimed at migration)	Analysis.v is a major invalidation root	one Analysis authority; one public aggregate; no peer implementation	n/a	n/a	after C4 stabilizes
PERF-CACHE-FRESH-BUILDER-RECOVERY	c4615d14557989c8db0bcf7b3026534f9013292b1e469475e9ae1bfb05c387e3	CACHE	OPEN_MATERIAL	cold	fresh-builder / CI recovery (base-cold staged measured 218s)	(see work_gain; span not separately claimed at migration)	no external cache for replacement builders or fresh machines	cache optional; hit is optimization only; full validation required	n/a	n/a	CI registry-cache work
PERF-CLOSED-ASYNC-WORKERS	3855d30229779acfed81ebd083f311a7d9ff10c99117c31d836b672236098b3c	ORCHESTRATION	REJECTED_BY_ARCHITECTURE	cold	async Rocq proof workers	(see work_gain; span not separately claimed at migration)	pinned rocq exposes no -async-proofs and ships no workmgr binary	toolchain-pinned	n/a	unavailable in the pinned toolchain	only if the pinned toolchain adds it
PERF-CLOSED-MODE-VO	3855d30229779acfed81ebd083f311a7d9ff10c99117c31d836b672236098b3c	INCREMENTAL	IMMATERIAL	cold	(mode vo) suppresses native artifacts	(see work_gain; span not separately claimed at migration)	no native_compute anywhere in the certified path	n/a	n/a	no native artifacts exist to suppress	if native compilation is introduced
PERF-CLOSED-PYTHON-BATCH	3855d30229779acfed81ebd083f311a7d9ff10c99117c31d836b672236098b3c	ORCHESTRATION	REJECTED_BY_ARCHITECTURE	warm	batch the python gates in one container	(see work_gain; span not separately claimed at migration)	host-python-gate text-parses in-container python3 as host python	no-host-python security boundary; would need a mutation-controlled meta-gate	n/a	blocked by the host-interpreter boundary	if the gate host model changes
