# CLASS: GENERATED_VIEW — human work/span summary generated by tools/perf-work-span.py
# from .review/PERFORMANCE.tsv (the exact series authority) + verification-dag-events.tsv;
# regenerated and byte-compared by the gates.  The SERIES rows name the exact selected
# comparison baseline and current cold RunKeys; the one-DAG DELTA is the current cold
# standard median (even = mean of two middle) versus the verified historical representative.
run	boundary	wall_span_s	aggregate_task_elapsed_s	critical_path_span_s	interval_union_span_s	temporal_overlap_s	work_outside_critical_path_s	unclassified_s
final-cold-1	PROJECT_VERIFICATION	81.0	96.2	81.0	81.0	15.2	15.2	0.0
final-cold-1	COMPLETE_PATH	105.0	120.2	105.0	105.0	15.2	15.2	0.0
final-cold-2	PROJECT_VERIFICATION	81.0	96.3	81.0	81.0	15.3	15.3	0.0
final-cold-2	COMPLETE_PATH	103.0	118.3	103.0	103.0	15.3	15.3	0.0
final-cold-3	PROJECT_VERIFICATION	80.0	95.2	80.0	80.0	15.2	15.2	0.0
final-cold-3	COMPLETE_PATH	102.0	117.2	102.0	102.0	15.2	15.2	0.0
entry-cold-1	PROJECT_VERIFICATION	129.0	129.0	129.0	129.0	0.0	0.0	0.0
entry-cold-1	COMPLETE_PATH	148.0	148.0	148.0	148.0	0.0	0.0	0.0
SERIES_HISTORICAL	entry-cold-1	cb7e58105b784a0ff047a43bb53e927d12938281c73b26e4e18a9d16ff4223a6	COLD_COMPLETE
SERIES_CURRENT	final-cold-1,final-cold-2,final-cold-3	3	standard_median_of_COMPLETE_PATH_wall
DELTA	onedag.complete_path.aggregate_work_reduction_pct	20.1						
DELTA	onedag.complete_path.critical_span_reduction_pct	30.4						
DELTA	onedag.project_verification.aggregate_work_reduction_pct	25.4						
DELTA	onedag.project_verification.critical_span_reduction_pct	37.2						
