# FIDO FCB — living document; derived reference, not authority; code and gated theorems are sole implementation authority.
# LAT-X004 is closed by the option-(ii) rounding-invariant-domain policy.
# Canonical live location: .review/fcb/current/ in the exact Git ref used for the task; project libraries contain bootstrap shims only.
# Regenerate, verify, and commit affected FCB files in Git after checkpoint acceptance or an accepted amendment.
# Candidate rows LAT-001.. are mechanically extracted from the frozen manifest. LAT-X rows are required supplemental observable-latitude rows whose governing sentences do not contain an extraction trigger.
latitude_id	source	anchor	matched_terms	sentence	disposition	owner_row	contract	justification	acceptance_observation	fido_elaboration_obligation	implementation_status	implementing_checkpoint	decision_status	rob_choice	rob_countersign
LAT-001	Go spec	Source_code_representation	may, implementation restriction	Implementation restriction: For compatibility with other tools, a compiler may disallow the NUL character (U+0000) in the source text.	OUT-COVERED	SPEC-X001	§25.20 SC-19-OUT-BOUNDARIES	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.					DISPOSITIONED		
LAT-002	Go spec	Source_code_representation	may, implementation restriction	Implementation restriction: For compatibility with other tools, a compiler may ignore a UTF-8-encoded byte order mark (U+FEFF) if it is the first Unicode code point in the source text.	OUT-COVERED	SPEC-X001	§25.20 SC-19-OUT-BOUNDARIES	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.					DISPOSITIONED		
LAT-003	Go spec	Source_code_representation	may	A byte order mark may be disallowed anywhere else in the source.	OUT-COVERED	SPEC-X001	§25.20 SC-19-OUT-BOUNDARIES	This latitude lies wholly inside existing OUT row SPEC-X001; inclusion requires paying that row's written price before implementation.					DISPOSITIONED		
LAT-004	Go spec	Tokens	may	Also, a newline or end of file may trigger the insertion of a semicolon.	NOT-LATITUDE	SPEC-008	§25.2 SC-01-SOURCE-LEXICAL-RENDER	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-005	Go spec	Semicolons	may	Go programs may omit most of these semicolons using the following two rules:	NOT-LATITUDE	SPEC-009	§25.2 SC-01-SOURCE-LEXICAL-RENDER	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-006	Go spec	Semicolons	may	"To allow complex statements to occupy a single line, a semicolon may be omitted before a closing "")"" or ""}""."	NOT-LATITUDE	SPEC-009	§25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-007	Go spec	Keywords	may	The following keywords are reserved and may not be used as identifiers.	NOT-LATITUDE	SPEC-011	§25.2 SC-01-SOURCE-LEXICAL-RENDER	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-008	Go spec	Integer_literals	may	For readability, an underscore character _ may appear after a base prefix or between successive digits; such underscores do not change the literal's value.	NOT-LATITUDE	SPEC-013	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-009	Go spec	Floating-point_literals	may	One of the integer part or the fractional part may be elided; one of the decimal point or the exponent part may be elided.	NOT-LATITUDE	SPEC-014	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-010	Go spec	Floating-point_literals	may	One of the integer part or the fractional part may be elided; the radix point may be elided as well, but the exponent part is required.	NOT-LATITUDE	SPEC-014	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-011	Go spec	Floating-point_literals	may	For readability, an underscore character _ may appear after a base prefix or between successive digits; such underscores do not change the literal value.	NOT-LATITUDE	SPEC-014	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-012	Go spec	Rune_literals	may	Within the quotes, any character may appear except newline and unescaped single quote.	NOT-LATITUDE	SPEC-016	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-013	Go spec	Rune_literals	may	The simplest form represents the single character within the quotes; since Go source text is Unicode characters encoded in UTF-8, multiple UTF-8-encoded bytes may represent a single integer value.	NOT-LATITUDE	SPEC-016	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
